9.000;0.000;9155.000;
9.000;0.000;915602.000;
9.000;0.000;3004257.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9164.000;
9.000;0.000;916508.000;
9.000;0.000;3094866.000;
9.000;0.000;90.000;
9.000;0.000;9151.000;
9.000;0.000;915149.000;
9.000;0.000;2958957.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9150.000;
9.000;0.000;915036.000;
9.000;0.000;2947630.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9152.000;
9.000;0.000;915262.000;
9.000;0.000;2970276.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;915715.000;
9.000;0.000;3015584.000;
9.000;0.000;90.000;
9.000;0.000;9155.000;
9.000;0.000;915602.000;
9.000;0.000;3004257.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9148.000;
9.000;0.000;914923.000;
9.000;0.000;2936303.000;
9.000;0.000;0.000;
0
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9150.000;
9.000;0.000;915036.000;
9.000;0.000;2947630.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9158.000;
9.000;0.000;915942.000;
9.000;0.000;3038238.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9148.000;
9.000;0.000;914923.000;
9.000;0.000;2936303.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;915715.000;
9.000;0.000;3015584.000;
9.000;0.000;90.000;
9.000;0.000;9167.000;
9.000;0.000;916735.000;
9.000;0.000;3117520.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9160.000;
9.000;0.000;916055.000;
9.000;0.000;3049565.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9151.000;
9.000;0.000;915149.000;
9.000;0.000;2958957.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9155.000;
9.000;0.000;915602.000;
9.000;0.000;3004257.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9163.000;
9.000;0.000;916394.000;
9.000;0.000;3083539.000;
9.000;0.000;90.000;
9.000;0.000;9155.000;
9.000;0.000;915602.000;
9.000;0.000;3004257.000;
9.000;0.000;0.000;
0
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9160.000;
9.000;0.000;916055.000;
9.000;0.000;3049565.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9158.000;
9.000;0.000;915942.000;
9.000;0.000;3038238.000;
9.000;0.000;90.000;
9.000;0.000;9174.000;
9.000;0.000;917527.000;
9.000;0.000;3196802.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9164.000;
9.000;0.000;916508.000;
9.000;0.000;3094866.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9168.000;
9.000;0.000;916961.000;
9.000;0.000;3140174.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9166.000;
9.000;0.000;916622.000;
9.000;0.000;3106193.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9160.000;
9.000;0.000;916055.000;
9.000;0.000;3049565.000;
0
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9170.000;
9.000;0.000;917074.000;
9.000;0.000;3151494.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9163.000;
9.000;0.000;916394.000;
9.000;0.000;3083539.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9155.000;
9.000;0.000;915602.000;
9.000;0.000;3004257.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9172.000;
9.000;0.000;917301.000;
9.000;0.000;3174148.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9168.000;
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9151.000;
9.000;0.000;915149.000;
9.000;0.000;2958957.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9166.000;
9.000;0.000;916622.000;
9.000;0.000;3106193.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9172.000;
9.000;0.000;917301.000;
9.000;0.000;3174148.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9164.000;
9.000;0.000;916508.000;
9.000;0.000;3094866.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9170.000;
9.000;0.000;917074.000;
9.000;0.000;3151494.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9173.000;
